Edad,Genero,Frecuencia_compra,Compra_por_recomendacion,Frecuencia_navegacion,Metodo_busqueda,Exploracion,Imp_reseñas,Carrito,Frecuencia_carrito,Factores_abandono,Frecuencia_guardar,Reseña,Confianza_reseñas,Utilidad_reseñas,Frecuencia_recomendaciones,Utilidad_recomendaciones,Precision_recomendaciones,Satisfaccion,Valor,Mejoras,Belleza_y_cuidado_personal,Ropa_y_moda,Alimentación_y_productos_gourmet,Hogar_y_cocina,Otros
33,0,0,0,1,0,1,2,0,2,1,2,0,3,0,1,0,2,2,0,11,1,0,1,0,0
33,0,4,0,1,0,0,5,2,1,0,3,0,3,0,1,1,1,1,2,13,1,0,0,0,1
31,2,3,0,0,2,0,3,0,2,0,4,0,0,0,2,0,5,4,4,13,0,1,0,0,0
40,2,0,2,2,0,0,2,0,2,2,2,0,3,0,0,1,1,2,2,11,0,1,0,1,0
37,1,4,0,0,2,0,3,0,2,1,0,0,3,0,1,0,3,4,2,2,1,1,0,0,0
25,2,0,0,3,2,0,3,0,2,0,2,0,0,0,1,0,3,2,3,9,1,0,0,0,0
60,0,4,1,2,1,0,2,0,2,0,4,0,3,0,1,0,2,3,2,2,1,1,0,0,0
18,0,4,0,0,2,0,3,2,5,1,2,0,4,0,3,0,4,4,0,11,1,0,1,0,0
50,1,1,0,1,2,1,3,0,2,3,3,0,3,0,3,0,4,4,2,13,0,1,0,1,1
24,2,0,2,0,2,0,1,0,2,0,3,0,3,2,2,0,2,3,4,9,1,1,0,1,0
19,0,0,0,0,2,0,3,0,2,1,4,0,3,0,1,0,3,2,4,2,1,1,0,0,0
18,0,3,0,3,3,0,4,2,4,2,0,1,1,0,0,0,2,1,4,9,1,1,0,0,1
17,1,0,0,1,2,1,3,2,1,0,0,1,1,0,1,0,2,2,4,2,1,1,1,0,0
27,0,3,0,1,1,1,1,1,3,0,4,1,0,1,2,2,3,2,4,13,1,0,0,0,0
23,1,1,0,3,0,1,1,0,2,0,1,0,0,1,4,0,5,2,4,9,1,0,0,1,1
35,0,0,0,0,2,0,3,2,4,1,2,1,3,0,1,0,4,2,2,11,1,0,0,0,0
57,0,0,0,1,0,1,2,0,2,0,3,0,3,1,2,2,3,1,2,11,1,1,1,1,1
54,1,0,0,1,0,0,3,0,2,1,4,1,1,0,2,0,2,2,0,9,0,1,1,1,0
26,2,3,0,0,2,1,2,0,2,2,2,0,0,0,1,0,2,2,4,13,1,0,0,0,0
46,1,4,2,3,1,1,2,1,3,1,2,1,0,0,1,0,2,2,0,2,1,0,0,0,0
26,0,2,2,1,1,1,1,2,3,3,2,1,1,1,2,2,3,2,0,1,1,1,1,1,1
24,1,3,0,0,0,1,1,1,3,0,2,1,0,1,0,1,3,2,3,13,0,0,0,0,1
26,0,3,0,1,2,1,1,1,3,0,1,1,0,1,1,1,1,1,3,13,1,1,1,0,0
27,1,3,0,0,2,1,5,2,3,2,1,1,0,1,2,1,1,2,4,13,0,1,0,0,0
22,0,0,1,2,0,1,3,2,3,1,0,1,1,2,0,2,3,3,0,2,1,0,0,0,0
24,1,0,1,1,2,1,3,1,5,1,4,0,3,1,2,1,3,3,2,2,1,0,0,0,0
25,1,2,0,1,0,1,3,2,3,1,2,0,3,2,1,0,3,3,0,11,1,0,0,0,0
22,2,3,1,1,3,0,2,2,3,1,4,1,0,0,2,2,3,3,2,2,1,0,0,0,0
27,1,3,0,0,1,1,1,1,3,2,1,1,0,1,2,1,1,1,3,13,0,0,0,0,1
23,0,1,0,0,1,0,1,1,5,1,4,0,1,1,1,1,2,2,0,13,0,1,0,1,0
24,1,1,0,0,2,0,1,2,5,2,1,0,0,1,2,1,3,3,3,9,0,1,0,0,0
24,0,1,0,3,2,0,4,1,5,0,1,0,1,1,2,0,3,3,0,9,1,0,0,0,0
23,0,0,0,0,0,1,1,1,5,1,4,0,0,2,3,1,3,4,3,9,0,1,0,0,0
23,1,3,0,0,1,1,1,1,5,1,2,1,0,1,2,0,3,3,0,14,0,1,0,0,1
25,0,4,1,2,0,1,3,1,5,0,2,0,1,1,2,1,3,3,2,11,0,0,1,0,0
21,1,4,0,1,2,0,5,2,5,2,3,1,3,0,2,0,3,3,3,2,0,0,1,0,0
36,0,0,0,0,1,1,2,0,2,1,4,1,3,0,2,2,3,4,4,2,0,0,1,0,0
23,0,2,1,1,0,1,3,0,2,1,4,1,3,1,2,2,3,3,0,2,1,0,0,0,0
23,0,0,2,0,0,1,3,0,2,1,4,1,3,1,2,0,3,3,2,2,0,1,0,0,0
23,2,4,1,0,2,1,3,2,5,0,4,1,3,1,2,0,3,3,2,2,0,1,0,0,0
21,0,4,1,1,0,1,3,2,5,1,4,0,1,1,2,0,3,3,0,2,1,0,0,0,0
23,2,4,1,0,1,1,3,2,3,2,0,1,0,1,2,2,3,3,0,9,0,1,0,0,0
26,2,0,1,1,0,1,3,1,5,2,4,1,3,0,2,0,2,3,3,9,1,0,0,0,0
30,0,0,1,1,0,1,3,2,5,1,1,1,1,2,2,2,3,3,2,2,1,0,0,0,0
37,0,3,2,0,2,1,1,1,5,0,2,0,0,1,3,2,2,3,4,9,0,1,0,0,0
26,0,3,1,1,2,1,3,1,5,0,2,0,3,1,1,1,3,3,0,13,1,0,0,0,0
46,0,3,2,3,3,0,5,1,0,2,0,1,4,2,0,1,1,1,3,13,0,0,0,0,1
36,0,1,0,3,3,1,4,0,2,3,1,0,2,2,3,1,4,4,3,9,0,0,0,0,1
40,0,1,2,3,2,1,3,1,5,0,3,0,1,1,2,1,2,2,4,2,0,0,0,1,0
41,1,1,2,0,1,1,1,1,0,1,3,1,4,1,4,1,2,3,4,13,0,1,0,0,0
34,1,1,0,3,1,1,2,2,5,0,1,1,1,2,3,0,3,2,4,12,0,0,0,0,1
29,0,3,0,2,1,1,1,2,3,0,0,1,0,1,4,0,3,3,3,9,1,1,0,1,0
35,1,3,2,1,2,1,3,1,5,0,3,0,4,1,1,1,3,3,2,9,0,1,0,0,0
32,1,1,0,3,1,1,5,2,5,1,3,1,1,1,2,1,1,3,2,11,0,1,0,0,0
41,1,0,2,1,0,1,1,1,3,1,1,0,0,1,0,1,2,2,4,9,1,1,0,0,1
35,0,0,1,2,1,1,1,1,5,0,4,1,1,1,1,1,3,2,4,9,0,0,0,1,1
36,0,0,1,1,1,1,4,1,5,1,2,1,1,2,2,1,2,1,0,11,0,0,1,1,1
46,0,4,0,1,1,1,5,1,3,1,2,0,1,1,4,2,3,4,4,2,0,0,0,0,1
39,0,0,2,1,0,0,2,1,5,0,4,0,4,0,0,2,2,3,4,2,0,0,0,1,0
48,1,0,1,1,0,1,1,1,3,0,2,1,3,1,1,1,2,1,4,2,1,0,0,0,0
25,1,0,0,1,1,1,5,0,2,1,4,0,3,1,2,1,3,4,4,2,0,0,0,0,1
38,1,3,1,1,2,1,1,1,4,1,1,0,0,1,2,2,3,3,3,10,1,1,0,1,1
26,1,3,1,1,2,1,1,2,5,3,4,0,3,2,0,1,3,3,0,9,1,1,0,1,0
40,0,1,0,1,2,1,4,1,5,2,2,1,4,2,2,0,4,3,3,9,1,0,0,0,0
49,0,0,2,2,1,1,1,1,5,1,0,1,0,1,2,1,3,2,4,4,0,0,1,1,1
30,1,1,1,1,2,1,5,1,5,0,4,1,3,1,2,1,4,1,4,9,0,1,0,0,0
24,0,1,0,3,2,1,1,2,4,2,4,0,1,1,1,2,3,2,0,2,0,1,0,0,0
23,0,3,1,1,1,0,1,1,5,1,3,0,0,1,1,1,2,1,4,13,1,0,0,1,0
27,1,3,2,0,1,1,4,1,5,1,4,0,3,1,2,1,3,4,3,9,0,1,0,0,0
28,1,1,0,3,1,1,2,2,5,0,3,0,1,1,4,1,2,2,0,9,0,0,0,0,1
23,1,1,0,1,1,0,3,1,4,0,2,1,1,2,1,2,3,2,3,9,0,0,0,0,1
46,0,0,1,1,2,1,1,1,0,1,2,0,3,1,0,1,2,2,2,9,0,0,0,1,0
27,1,1,2,3,1,0,2,2,4,3,2,0,0,2,2,2,3,3,2,2,0,0,0,0,1
20,0,3,0,3,2,1,1,1,5,0,2,1,1,1,2,2,2,3,0,9,0,0,0,1,0
23,0,1,0,0,1,1,4,1,4,0,4,0,0,1,3,1,3,4,3,13,1,1,0,0,0
29,0,4,1,2,1,1,1,1,3,1,1,1,1,1,1,2,2,2,4,2,1,1,1,1,1
29,0,1,1,0,3,0,1,2,5,2,4,1,1,1,0,1,1,3,4,9,0,1,0,0,0
57,0,0,0,1,2,1,1,1,3,1,4,1,0,1,3,1,3,3,3,2,0,0,0,1,0
25,0,1,0,1,1,1,1,1,5,1,4,0,1,1,3,1,3,1,3,2,1,0,0,0,0
23,0,0,0,0,2,1,1,1,5,1,3,0,3,1,0,2,3,2,2,9,1,0,0,0,1
15,1,3,0,1,1,0,1,1,5,3,3,0,0,2,2,2,3,2,4,9,0,1,0,0,1
39,1,1,1,0,1,1,2,1,3,1,4,1,1,1,2,2,3,2,4,9,0,1,0,0,1
23,0,3,0,0,2,1,4,1,5,1,4,0,0,1,2,2,4,3,3,11,1,1,0,0,0
25,0,1,0,1,1,1,5,1,5,2,3,1,0,1,2,1,3,3,0,13,1,0,0,0,0
37,0,2,2,1,2,1,1,1,0,0,2,1,0,1,1,2,3,2,4,11,1,1,1,1,1
23,0,0,0,0,2,1,3,2,5,0,4,1,3,0,2,0,2,2,2,11,1,0,0,1,0
23,0,0,0,1,0,1,3,0,2,0,4,0,4,2,2,0,3,3,3,11,0,1,0,1,0
23,0,3,2,0,0,0,3,2,5,0,4,1,3,0,2,0,3,3,2,11,0,1,0,1,0
23,0,4,0,0,2,1,2,0,2,1,4,0,3,2,2,0,3,2,2,2,1,0,0,0,0
21,0,3,0,0,0,1,4,2,5,1,3,1,1,0,1,0,2,4,0,2,0,1,0,1,0
21,0,4,0,1,0,1,3,0,2,1,4,0,1,0,3,1,2,1,2,2,0,1,0,0,0
34,0,4,0,1,0,1,2,0,2,1,2,1,3,0,1,0,3,2,0,2,1,0,0,0,0
23,0,0,0,1,0,1,3,0,2,1,4,0,3,0,2,0,3,1,2,2,0,1,0,1,0
